Altium Designer Pick and Place Locations
D:\ESP32 IoT 4-layer PCB\ESP32 IoT 4-layer PCB\Project Outputs for Free Documents\Pick Place\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       06/08/26
Time:       23:11
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                              Layer    Footprint                       Center-X(mil) Center-Y(mil) Rotation Description                                                                                                  
C14        "0.1 µF"                             TopLayer CAP_0805_2012                   3996.063      1933.071      180      "CAP CER 0.1UF 16V X7R 0805"                                                                                 
MH3        "MH_7.4MMNC_3.2MMD (NO COPPER-NPTH)" TopLayer MH_7.4MMC_3.2MMD_NO_COPPER_NPTH 3211.614      2684.055      0        ""                                                                                                           
MH2        "MH_7.4MMNC_3.2MMD (NO COPPER-NPTH)" TopLayer MH_7.4MMC_3.2MMD_NO_COPPER_NPTH 2159.803      1346.252      0        ""                                                                                                           
MH1        "MH_7.4MMNC_3.2MMD (NO COPPER-NPTH)" TopLayer MH_7.4MMC_3.2MMD_NO_COPPER_NPTH 3842.520      1442.913      0        ""                                                                                                           
C22        "0.1 µF"                             TopLayer CAP_0805_2012                   3112.205      2376.968      270      "CAP CER 0.1UF 16V X7R 0805"                                                                                 
C21        "0.1 µF"                             TopLayer CAP_0805_2012                   3472.441      2114.173      180      "CAP CER 0.1UF 16V X7R 0805"                                                                                 
OLED       OLED                                 TopLayer OLED                            2338.583      2486.220      0        ""                                                                                                           
U8         Mic_preamp.                          TopLayer MIC_PREAMP.                     3487.606      2300.518      90       "EAR99 MAX4466 Tape & Reel (TR) Microphone audio amplifier 2.4V 2mm 600kHz -40C~85C TA"                      
U7         BME280                               TopLayer BME280                          2976.378      2921.260      90       "Pressure, Temperature and Humidity Sensor Digital Output 1.8V 8-Pin LGA T/R"                                
U6         "W25Q32JVSSIQ TR"                    TopLayer spiflash                        3937.008      2165.354      90       "NOR Flash Serial (SPI, Dual SPI, Quad SPI) 3V/3.3V 32M-bit 4M x 8 6ns 8-Pin SOIC T/R"                       
U5         CP2102N-A02-GQFN20                   TopLayer USB-TO-UART                     3080.709      1675.197      90       "IC Usb to Uart Bridge QFN20 / Usb Bridge, Usb to Uart Usb 2.0 Uart Interface 20-QFN (3X3)"                  
U4         ESP32_C3_WROOM                       TopLayer ESP32-C3-WROOM-02-H4            4670.866      2515.748      0        "WiFi Modules (802.11) (Engineering Samples) SMD module, ESP32-C3, 4MB SPI flash, PCB antenna, -40 C +105 C" 
U3         ESD_Suppresor                        TopLayer ESD_Suppresor                   3102.362      1460.630      270      "STMicroelectronics Uni-Directional TVS Diode Array, 17V Vcl Max, SMD, SOT-23, 6V Vbr Min"                   
U2         LM1117MPX-3.3                        TopLayer Voltage_regulator-LM1117MPX-3.3 2523.622      1786.417      90       "800-mA 15-V linear voltage regulator 800-mA 15-V linear voltage regulator"                                  
U1         MCP73871-2CAI/ML                     TopLayer lipo_charger                    2505.905      953.346       180      "Linear Battery Charger Controller Li-Ion/Li-Pol 1000mA 4.2V 20-Pin QFN EP Tube"                             
SCLK_T     Test_Point                           TopLayer Test_Point                      4051.181      2413.386      90       ""                                                                                                           
CS_T       Test_Point                           TopLayer Test_Point                      3862.205      1934.449      90       ""                                                                                                           
CS_SD_T    Test_Point                           TopLayer Test_Point                      5003.937      2000.000      90       ""                                                                                                           
MISO_T     Test_Point                           TopLayer Test_Point                      4366.142      2098.425      90       ""                                                                                                           
MOSI_T     Test_Point                           TopLayer Test_Point                      4606.299      2114.173      0        ""                                                                                                           
EN         USLPT2819DT2TR                       TopLayer SW                              3530.512      901.575       180      "Keypad Switch, SPST, 0.05A, 1.568N, Solder Terminal, Panel Mount"                                           
BOOT       USLPT2819DT2TR                       TopLayer SW                              3761.811      901.575       180      "Keypad Switch, SPST, 0.05A, 1.568N, Solder Terminal, Panel Mount"                                           
R32        "10 kOhms"                           TopLayer YAGEO_RES_0805_2012             3666.339      1103.346      180      "RES SMD 10K OHM 1% 1/8W 0805"                                                                               
